"service_id","date","exception_type"
"77C603A5","20231210","1"
"5FCB94F4","20231211","1"
"5FCB94F4","20231212","1"
"5FCB94F4","20231213","1"
"5FCB94F4","20231214","1"
"5FCB94F4","20231215","1"
"5FCB94F4","20231218","1"
"5FCB94F4","20231219","1"
"5FCB94F4","20231220","1"
"5FCB94F4","20231221","1"
"5FCB94F4","20231222","1"
"5FCB94F4","20231226","1"
"5FCB94F4","20231227","1"
"5FCB94F4","20231228","1"
"5FCB94F4","20231229","1"
"5FCB94F4","20240102","1"
"5FCB94F4","20240103","1"
"5FCB94F4","20240104","1"
"5FCB94F4","20240105","1"
"5FCB94F4","20240108","1"
"5FCB94F4","20240109","1"
"5FCB94F4","20240110","1"
"5FCB94F4","20240111","1"
"5FCB94F4","20240112","1"
"5FCB94F4","20240115","1"
"5FCB94F4","20240116","1"
"5FCB94F4","20240117","1"
"5FCB94F4","20240118","1"
"5FCB94F4","20240119","1"
"5FCB94F4","20240122","1"
"5FCB94F4","20240123","1"
"5FCB94F4","20240124","1"
"5FCB94F4","20240125","1"
"5FCB94F4","20240126","1"
"5FCB94F4","20240129","1"
"5FCB94F4","20240130","1"
"5FCB94F4","20240131","1"
"5FCB94F4","20240201","1"
"5FCB94F4","20240202","1"
"5FCB94F4","20240205","1"
"5FCB94F4","20240206","1"
"5FCB94F4","20240207","1"
"5FCB94F4","20240208","1"
"5FCB94F4","20240209","1"
"5FCB94F4","20240212","1"
"5FCB94F4","20240213","1"
"5FCB94F4","20240214","1"
"5FCB94F4","20240215","1"
"5FCB94F4","20240216","1"
"5FCB94F4","20240220","1"
"5FCB94F4","20240221","1"
"5FCB94F4","20240222","1"
